name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
scalar_0.425000,scalar,0.425,0.425,0.425,0.425,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
refine_0.427000,refine,0.427,0.427,0.427,0.427,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
refine_0.425000,refine,0.425,0.425,0.425,0.425,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
anchor_first_slot,scalar,0.4248,0.4248,0.4248,0.4248,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.421533,scalar,0.421533,0.421533,0.421533,0.421533,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.250000,scalar,0.25,0.25,0.25,0.25,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.300000,scalar,0.3,0.3,0.3,0.3,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.360000,scalar,0.36,0.36,0.36,0.36,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
scalar_0.370000,scalar,0.37,0.37,0.37,0.37,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
anchor_min_tariff,scalar,0.3713,0.3713,0.3713,0.3713,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
