name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
midnight_hybrid_morning_c0.3_n12_ge,forecast,midnight,hybrid_morning,0.3,0.0,12,ge,13676006.04094324,13313070.85664366,298540.6765153168,64394.507784265596,21264660.72113905,20793225.92099168,603225.2422467163,1074660.0423940911,11882.102350165807,1745689.7188144673,6690.931003512604,1200.0,10800.0,5092.330078378509,5084.618548237054,5908141.555374915,4787912.745814203,4018.7474721897865,154596.333491005
midnight_hybrid_morning_c0.3_n12_soft,forecast,midnight,hybrid_morning,0.3,0.0,12,soft,13676006.04094324,13313070.85664366,298540.6765153168,64394.507784265596,21264660.72113905,20793225.92099168,603225.2422467163,1074660.0423940911,11882.102350165807,1745689.7188144673,6690.930697665129,1200.0,10800.0,5092.330078378509,5084.618548237054,5908141.555374915,4787912.745814203,4018.7474721897865,154596.333491005
six_hist_morning_c0.3_n12_ge,forecast,six,hist_morning,0.3,0.0,12,ge,13681753.846621688,12855989.704881016,764960.7335606635,60803.40818000983,20729247.045052014,21040693.127987474,1262971.4327594852,951525.3498240218,11283.617328015085,1904332.6148619493,7239.316373494682,1200.0,10800.0,4751.441517329908,4743.612240418718,6372674.295401996,5164219.65991512,4026.3120794369593,160344.1391694527
six_hist_morning_c0.3_n12_soft,forecast,six,hist_morning,0.3,0.0,12,soft,13681753.846621688,12855989.704881016,764960.7335606635,60803.40818000983,20729247.045052014,21040693.127987474,1262971.4327594852,951525.3498240218,11283.617328015085,1904332.6148619493,7239.315991923568,1200.0,10800.0,4751.441517329908,4743.612240418718,6372674.295401996,5164219.65991512,4026.3120794369593,160344.1391694527
six_hist_morning_c0.3_n48_soft,forecast,six,hist_morning,0.3,0.0,48,soft,13681753.846621688,12855989.704881016,764960.7335606635,60803.40818000983,20729247.045052014,21040693.127987474,1262971.4327594852,951525.3498240218,11283.617328015085,1904332.6148619493,7239.315991923568,1200.0,10800.0,4751.441517329908,4743.612240418718,6372674.295401996,5164219.65991512,4026.3120794369593,160344.1391694527
six_hist_morning_c0.3_n48_ge,forecast,six,hist_morning,0.3,0.0,48,ge,13681753.846621688,12855989.704881016,764960.7335606635,60803.40818000983,20729247.045052014,21040693.127987474,1262971.4327594852,951525.3498240218,11283.617328015085,1904332.6148619493,7239.316373494682,1200.0,10800.0,4751.441517329908,4743.612240418718,6372674.295401996,5164219.65991512,4026.3120794369593,160344.1391694527
midnight_hist_morning_c0.3_n12_ge,forecast,midnight,hist_morning,0.3,0.0,12,ge,13681998.901551679,13397586.786448438,218974.03917371263,65438.07592952715,21367415.543706708,20767491.722685486,488588.02099353843,1088511.8420147602,12083.580860271759,1733625.7065047775,6588.287466420992,1200.0,10800.0,4767.841502461589,4760.0122255504,5837439.909020083,4730679.806945772,4018.063986497838,160589.19409944303
midnight_hist_morning_c0.3_n12_soft,forecast,midnight,hist_morning,0.3,0.0,12,soft,13681998.901551679,13397586.786448438,218974.03917371263,65438.07592952715,21367415.543706708,20767491.722685486,488588.02099353843,1088511.8420147602,12083.580860271759,1733625.7065047775,6588.287084849877,1200.0,10800.0,4767.841502461589,4760.0122255504,5837439.909020083,4730679.806945772,4018.063986497838,160589.19409944303
six_fixed4000_n12_ge,fixed,six,,0.0,4000.0,12,ge,13689461.192520969,12886069.652723921,746931.5911449485,56459.94865209949,20796760.376072567,21083730.29162576,1229952.4143854964,942982.498832305,9418.325036011061,1940982.6426824667,7312.2738505072375,1200.0,10800.0,4692.228617909988,4690.142929748473,6387386.509863103,5174410.0308504645,4000.0,168051.48506873287
six_fixed4000_n48_soft,fixed,six,,0.0,4000.0,48,soft,13689461.192520969,12886069.652723921,746931.5911449485,56459.94865209949,20796760.376072567,21083730.29162576,1229952.4143854964,942982.498832305,9418.325036011061,1940982.6426824667,7312.273468936121,1200.0,10800.0,4692.228617909988,4690.142929748473,6387386.509863103,5174410.0308504645,4000.0,168051.48506873287
